side,action,ticker,name,latest_price,trigger_or_cost,target_price,hard_stop_price,pnl_pct,reason
buy,WAIT,600363,联创光电,36.81,36.81,42.6628,35.1977,,还没到有效买入确认窗口或暂无日内数据
buy,WAIT,301382,蜂助手,46.99,46.99,54.3627,44.3633,,还没到有效买入确认窗口或暂无日内数据
buy,WAIT,300024,机器人,18.31,18.31,21.5783,17.2608,,还没到有效买入确认窗口或暂无日内数据
buy,WAIT,300418,昆仑万维,42.66,42.66,49.0505,40.3777,,还没到有效买入确认窗口或暂无日内数据
buy,WAIT,300102,乾照光电,25.53,25.53,29.117,24.3633,,还没到有效买入确认窗口或暂无日内数据
buy,WAIT,600877,电科芯片,16.75,16.75,19.2809,15.9745,,还没到有效买入确认窗口或暂无日内数据
buy,WAIT,300458,全志科技,37.65,37.65,42.6951,35.8654,,还没到有效买入确认窗口或暂无日内数据
buy,WAIT,300442,润泽科技,85.44,85.44,97.7946,81.45,,还没到有效买入确认窗口或暂无日内数据
buy,WAIT,300037,新宙邦,88.96,88.96,103.3537,83.7469,,还没到有效买入确认窗口或暂无日内数据
buy,WAIT,600060,海信视像,27.52,27.52,30.5582,26.5293,,还没到有效买入确认窗口或暂无日内数据
